customer_id,name,email,segment,location,connection_type,join_date,smart_meter
CUST058,Judy Dunn,kimberly68@martin.com,Residential,Port Jackhaven,Three Phase,2022-08-11,Yes
CUST059,Ryan Vasquez,dickersonbethany@gmail.com,Residential,Smithberg,Single Phase,2023-12-30,No
CUST060,Kevin Holmes,bensonerika@richmond.com,Commercial,Markfort,Single Phase,2023-11-28,No
CUST061,Regina Mckee,nealethan@gmail.com,Residential,Chenside,Three Phase,2020-09-01,Yes
CUST062,Robert Moore,ijensen@gmail.com,Residential,Lake Nancyland,Three Phase,2020-04-29,No
CUST063,Andrew White,joshua10@yahoo.com,Residential,North Lauren,Single Phase,2024-06-27,Yes
CUST064,Adam Johnson,galvanchristopher@hotmail.com,Residential,Cummingsborough,Three Phase,2022-05-09,Yes
CUST065,Joseph Yang,ryan55@gmail.com,Commercial,Carlsonton,Three Phase,2021-10-04,No
CUST066,Lisa Phillips,wallerkimberly@yahoo.com,Residential,Arianafort,Single Phase,2021-09-30,Yes
CUST067,Stephen Hunt,dorisconley@williams-hart.com,Commercial,Port Mason,Three Phase,2023-12-23,Yes
CUST068,Lisa Farley,marythomas@adams.info,Residential,Maryland,Single Phase,2022-08-19,Yes
CUST069,Christine Malone,nwilliams@hotmail.com,Commercial,New Jesus,Single Phase,2023-05-25,Yes
CUST070,Jennifer Rogers,juanhuffman@gmail.com,Commercial,North Jennifer,Three Phase,2021-11-25,Yes
CUST071,Joseph Taylor,leelindsey@hotmail.com,Commercial,South Robert,Three Phase,2021-07-04,Yes
CUST072,Ryan Jones,jacksondaniel@brock-doyle.com,Residential,Port Michelle,Single Phase,2021-11-17,No
CUST073,Kelsey Harris,jasmine21@thomas.net,Residential,Goodmanmouth,Single Phase,2024-01-22,No
CUST074,Sabrina Jacobs,caroline73@yahoo.com,Residential,South Christymouth,Single Phase,2022-02-07,No
CUST075,Daniel Allen,jparker@yahoo.com,Commercial,Hughesport,Three Phase,2020-10-25,Yes
CUST076,Richard Palmer,washingtonsavannah@schmitt-chen.com,Commercial,West Yesenialand,Single Phase,2021-03-29,No
CUST077,Jennifer Humphrey,daniellecowan@nunez.com,Commercial,Reesestad,Single Phase,2021-03-15,Yes
CUST078,Madeline Miller,dylan24@hayden-petersen.com,Industrial,South Brittany,Three Phase,2021-08-11,Yes
CUST079,Carrie Harris,calvin86@tucker.info,Industrial,Wilsonbury,Three Phase,2022-07-15,No
CUST080,Aaron Ford,sotomelissa@hotmail.com,Residential,Tommyfurt,Three Phase,2022-08-13,No
CUST081,Stephen Powell,mcintyrevictoria@yahoo.com,Industrial,West Lori,Three Phase,2024-11-05,Yes
CUST082,Diane Schneider,patrickkim@reynolds.com,Residential,Lake Brent,Three Phase,2020-12-28,No
CUST083,Stephanie Clements,jonathan15@little-lewis.com,Industrial,Valerieland,Single Phase,2022-11-05,Yes
CUST084,Tyler Mcguire,ecoleman@gmail.com,Commercial,Christyshire,Single Phase,2024-05-15,Yes
CUST085,Nicholas Espinoza,imeza@yahoo.com,Residential,West Tiffany,Three Phase,2022-07-18,No
CUST086,Michele Richardson,sherri41@yahoo.com,Industrial,Michaeltown,Single Phase,2023-05-08,No
CUST087,Richard Silva,aromero@avila.com,Commercial,Vaughanstad,Three Phase,2020-09-01,No
CUST088,Sean Gray,youngtamara@stokes.com,Commercial,Casebury,Three Phase,2024-03-22,Yes
CUST089,Jack Green,escobarmelissa@gmail.com,Residential,Manuelfort,Single Phase,2022-06-04,No
CUST090,Katherine Jackson,yvette45@garrett.com,Commercial,North Aaron,Three Phase,2024-04-01,Yes
CUST091,Timothy Robinson,ritacuevas@hotmail.com,Commercial,Robbinsview,Three Phase,2024-05-18,Yes
CUST092,Jill Hudson,anthony40@gmail.com,Residential,Taylorport,Three Phase,2022-10-01,No
CUST093,Christopher Green,mgonzales@harris.com,Commercial,West David,Single Phase,2021-05-10,Yes
CUST094,Raymond Hart,tina19@yahoo.com,Industrial,East Lori,Single Phase,2024-12-11,No
CUST095,April Lyons,anthony20@hotmail.com,Industrial,Lake Alexanderland,Single Phase,2023-04-17,No
CUST096,Michael Hogan,jonathangould@yahoo.com,Residential,Port Ericatown,Single Phase,2021-12-07,Yes
CUST097,Justin Frazier,imontes@yahoo.com,Residential,East Daniel,Three Phase,2021-08-13,Yes
CUST098,Clifford Moore,vnolan@hotmail.com,Commercial,Bennettshire,Three Phase,2022-12-30,Yes
CUST099,Caitlin Vaughn,matthew22@ware.com,Residential,Lake Williamberg,Three Phase,2023-06-04,No
CUST100,Mrs. Stephanie Collins,donaldwiggins@gmail.com,Industrial,South Lauraburgh,Single Phase,2021-06-26,No
